name,user rating,Price,MS Office Provided,Dedicated Graphic Memory Capacity,SSD Capacity,Graphic Processor,Number of Cores,Operating System,Refresh Rate,Brand,Professional,Gaming,EveryDay,Processor,RAM(in GB),Price_Normalized,SSD Capacity (In Gb),SSD Capacity Normalized,Normalized review,Number of Cores_Normalized,HDD Capacity,HDD Capacity_Normalized,Price_Category,Pocket Friendly,Mid Range,High End,laptop_Link
"acer aspire 5 core i5 11th gen - (8 gb/1 tb hdd/windows 11 home) a515-56 notebook  (15.6 inch, pure silver, 1.65 kg, with ms office)",3,49990,1,0,,intel integrated iris xe graphics,4,windows,,acer,1,0,1,core i5 11th gen,8,0.118881118881119,,,0.375,0.230769230769231,1,1,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51GGNToj7aL._AC_UL320_.jpg
"acer aspire 3 ryzen 3 dual core 3250u - (8 gb/512 gb ssd/windows 11 home) a315-23 laptop  (15.6 inch, pure silver, 1.9 kg)",4.1,35990,0,0,512 gb,amd radeon amd,2,windows,,acer,0,0,0,,8,0.0699300699300699,512,0.2,0.71875,0.0769230769230769,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/715Sum+EpLL._AC_UL320_.jpg
"acer aspire 3 ryzen 3 dual core r33250u - (4 gb/512 gb ssd/windows 11 home) a315-23 notebook  (15.6 inch, pure silver, 1.9 kg)",4.8,33999,0,0,512 gb,intel integrated amd radeon graphics,2,windows,,acer,1,0,1,,4,0.0629685314685315,512,0.2,0.9375,0.0769230769230769,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/81TAh-cxQyL._AC_UL320_.jpg
"acer swift x ryzen 7 octa core 5800u - (16 gb/1 tb ssd/windows 11 home/4 gb graphics) sfx14-41g thin and light laptop  (14 inch, safari gold, 1.39 kg, with ms office)",4.20623188405797,99990,1,4 gb,1 tb,nvidia geforce rtx 3050 ti,,windows,,acer,0,1,0,,16,0.293706293706294,1024,0.466666666666667,0.751947463768116,0,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/71IfO70KcRL._AC_UL320_.jpg
"acer intel evo swift 5 core i5 11th gen - (8 gb/512 gb ssd/windows 11 home) sf514-55ta thin and light laptop  (14 inch, mist green, 1.05 kg, with ms office)",4.20623188405797,74990,1,0,512 gb,intel integrated intel iris xe graphics,4,windows,,acer,1,0,1,core i5 11th gen,8,0.206293706293706,512,0.2,0.751947463768116,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer predator helios 300 core i9 11th gen - (16 gb/1 tb ssd/windows 11 home/6 gb graphics/nvidia geforce rtx rtx 3060/300 hz) ph315-54 gaming laptop  (15.6 inch, abyssal black, 2.3 kg)",3,139990,0,6 gb,1 tb,nvidia geforce rtx rtx 3060,8,windows,300 hz,acer,0,1,0,core i9 11th gen,16,0.433566433566434,1024,0.466666666666667,0.375,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer predator helios 300 core i9 11th gen - (32 gb/1 tb ssd/windows 11 home/8 gb graphics/nvidia geforce rtx 3070/300 hz) ph315-54 gaming laptop  (15.6 inch, abyssal black, 2.3 kg)",4.20623188405797,169990,0,8 gb,1 tb,nvidia geforce rtx 3070,8,windows,300 hz,acer,0,1,0,core i9 11th gen,32,0.538461538461538,1024,0.466666666666667,0.751947463768116,0.538461538461539,0,0,High End,0,0,1,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer aspire 5 ryzen 5 hexa core 5500u - (8 gb/512 gb ssd/windows 11 home) a515-45 thin and light laptop  (15.6 inch, pure silver, 1.76 kg, with ms office)",4.20623188405797,51990,1,0,512 gb,amd radeon amd,4,windows,,acer,0,0,0,,8,0.125874125874126,512,0.2,0.751947463768116,0.230769230769231,0,0,Mid Range,0,1,0,https://m.media-amazon.com/images/I/51uVt6tSRPL._AC_UL320_.jpg
"acer core i3 11th gen - (4 gb/1 tb hdd/windows 10 home) ex215-54 notebook  (15.6 inch, black)",3.3,36999,0,0,,,4,windows,,acer,1,0,1,core i3 11th gen,4,0.073458041958042,,,0.46875,0.230769230769231,1,1,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/71czGb00k5L._AC_UL320_.jpg
"acer aspire 3 ryzen 5 quad core 3500u - (8 gb/512 gb ssd/windows 11 home) a315-23 laptop  (15.6 inch, pure silver, 1.9 kg)",4.5,42990,0,0,512 gb,amd radeon amd,4,windows,,acer,0,0,0,,8,0.0944055944055944,512,0.2,0.84375,0.230769230769231,0,0,Pocket Friendly,1,0,0,https://m.media-amazon.com/images/I/617rprfdhRL._AC_UL320_.jpg
